model,C,accuracy
SVM,0.1,0.8147896879240163
SVM,1.0,0.9023066485753053
SVM,10.0,0.9063772048846676
LogisticRegression,0.1,0.8432835820895522
LogisticRegression,1.0,0.8975576662143826
LogisticRegression,10.0,0.9118046132971506
